delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.7,1000.0,exp,1,6,18,11,157.5512105000671,158.55120590003207,158.55120590003207,158.55120590003207,space,0.9961249999469146,160.26775012003492,160.56777060008608,160.56777060008608,160.56777060008608,40,19,"[7.500491500017233, 8.148237899993546, 4.632625599973835, 6.048216600087471, 9.614266699994914, 5.6819542000303045, 4.5645972999045625, 5.898321399930865, 2.965241799945943, 2.3326427000574768, 8.19838630000595, 3.748666499974206, 3.565124399960041, 3.03186220000498, 3.580949900089763, 2.3322241000132635, 2.931673499988392, 2.032431099913083, 2.5827882000012323]","[7.50050960003864, 8.148248599958606, 4.632638300070539, 6.048224200028926, 9.614273000042886, 5.6819653999991715, 4.564603499951772, 5.898328999988735, 2.965251899906434, 2.3326525000156835, 8.198397100088187, 3.7486757000442594, 3.5651323999045417, 3.031870000064373, 3.5809601000510156, 2.332234000088647, 2.931681700050831, 2.032439099973999, 2.5827989999670535]",160.56777060008608,023697,001,2022-11-08_16h01.02.077,tutorial07,2022.2.2,60.03871294935459,
0.4,1000.0,exp,1,7,19,7,163.15093770006206,164.150916100014,164.150916100014,164.150916100014,space,2.5402177999494597,167.11753152009334,167.41749680007342,167.41749680007342,167.41749680007342,30,20,"[7.500491500017233, 8.148237899993546, 4.632625599973835, 6.048216600087471, 9.614266699994914, 5.6819542000303045, 4.5645972999045625, 5.898321399930865, 2.965241799945943, 2.3326427000574768, 8.19838630000595, 3.748666499974206, 3.565124399960041, 3.03186220000498, 3.580949900089763, 2.3322241000132635, 2.931673499988392, 2.032431099913083, 2.5827882000012323, 3.098484499962069]","[7.50050960003864, 8.148248599958606, 4.632638300070539, 6.048224200028926, 9.614273000042886, 5.6819653999991715, 4.564603499951772, 5.898328999988735, 2.965251899906434, 2.3326525000156835, 8.198397100088187, 3.7486757000442594, 3.5651323999045417, 3.031870000064373, 3.5809601000510156, 2.332234000088647, 2.931681700050831, 2.032439099973999, 2.5827989999670535, 3.0984959000488743]",167.41749680007342,023697,001,2022-11-08_16h01.02.077,tutorial07,2022.2.2,60.03871294935459,
0.4,1000.0,exp,1,8,20,4,170.5174258000916,171.51741650002077,171.51741650002077,171.51741650002077,space,2.575719299959019,174.51703182003695,174.81725830002688,174.81725830002688,174.81725830002688,70,21,"[7.500491500017233, 8.148237899993546, 4.632625599973835, 6.048216600087471, 9.614266699994914, 5.6819542000303045, 4.5645972999045625, 5.898321399930865, 2.965241799945943, 2.3326427000574768, 8.19838630000595, 3.748666499974206, 3.565124399960041, 3.03186220000498, 3.580949900089763, 2.3322241000132635, 2.931673499988392, 2.032431099913083, 2.5827882000012323, 3.098484499962069, 2.1983819999732077]","[7.50050960003864, 8.148248599958606, 4.632638300070539, 6.048224200028926, 9.614273000042886, 5.6819653999991715, 4.564603499951772, 5.898328999988735, 2.965251899906434, 2.3326525000156835, 8.198397100088187, 3.7486757000442594, 3.5651323999045417, 3.031870000064373, 3.5809601000510156, 2.332234000088647, 2.931681700050831, 2.032439099973999, 2.5827989999670535, 3.0984959000488743, 2.1983917000470683]",,023697,001,2022-11-08_16h01.02.077,tutorial07,2022.2.2,60.03871294935459,
0.1,400.0,unexp,1,9,21,0,177.01725070003886,178.01705660007428,178.01705660007428,178.01705660007428,space,1.7650249999715015,179.90051242000192,180.2002516000066,180.2002516000066,180.2002516000066,80,22,"[7.500491500017233, 8.148237899993546, 4.632625599973835, 6.048216600087471, 9.614266699994914, 5.6819542000303045, 4.5645972999045625, 5.898321399930865, 2.965241799945943, 2.3326427000574768, 8.19838630000595, 3.748666499974206, 3.565124399960041, 3.03186220000498, 3.580949900089763, 2.3322241000132635, 2.931673499988392, 2.032431099913083, 2.5827882000012323, 3.098484499962069, 2.1983819999732077, 3.6324259999673814]","[7.50050960003864, 8.148248599958606, 4.632638300070539, 6.048224200028926, 9.614273000042886, 5.6819653999991715, 4.564603499951772, 5.898328999988735, 2.965251899906434, 2.3326525000156835, 8.198397100088187, 3.7486757000442594, 3.5651323999045417, 3.031870000064373, 3.5809601000510156, 2.332234000088647, 2.931681700050831, 2.032439099973999, 2.5827989999670535, 3.0984959000488743, 2.1983917000470683, 3.6324376999400556]",,023697,001,2022-11-08_16h01.02.077,tutorial07,2022.2.2,60.03871294935459,
0.7,1000.0,exp,1,10,22,5,183.8335195000982,184.83340600004885,184.83340600004885,184.83340600004885,space,2.1298130999784917,187.68343682006235,187.9834410001058,187.9834410001058,187.9834410001058,25,23,"[7.500491500017233, 8.148237899993546, 4.632625599973835, 6.048216600087471, 9.614266699994914, 5.6819542000303045, 4.5645972999045625, 5.898321399930865, 2.965241799945943, 2.3326427000574768, 8.19838630000595, 3.748666499974206, 3.565124399960041, 3.03186220000498, 3.580949900089763, 2.3322241000132635, 2.931673499988392, 2.032431099913083, 2.5827882000012323, 3.098484499962069, 2.1983819999732077, 3.6324259999673814, 2.748561199987307]","[7.50050960003864, 8.148248599958606, 4.632638300070539, 6.048224200028926, 9.614273000042886, 5.6819653999991715, 4.564603499951772, 5.898328999988735, 2.965251899906434, 2.3326525000156835, 8.198397100088187, 3.7486757000442594, 3.5651323999045417, 3.031870000064373, 3.5809601000510156, 2.332234000088647, 2.931681700050831, 2.032439099973999, 2.5827989999670535, 3.0984959000488743, 2.1983917000470683, 3.6324376999400556, 2.748571499949321]",,023697,001,2022-11-08_16h01.02.077,tutorial07,2022.2.2,60.03871294935459,
0.1,1000.0,exp,1,11,23,9,190.73330500000156,191.73325640009716,191.73325640009716,191.73325640009716,space,0.4446273000212386,192.29969751999016,192.59979910007678,192.59979910007678,192.59979910007678,30,24,"[7.500491500017233, 8.148237899993546, 4.632625599973835, 6.048216600087471, 9.614266699994914, 5.6819542000303045, 4.5645972999045625, 5.898321399930865, 2.965241799945943, 2.3326427000574768, 8.19838630000595, 3.748666499974206, 3.565124399960041, 3.03186220000498, 3.580949900089763, 2.3322241000132635, 2.931673499988392, 2.032431099913083, 2.5827882000012323, 3.098484499962069, 2.1983819999732077, 3.6324259999673814, 2.748561199987307, 2.716066399938427]","[7.50050960003864, 8.148248599958606, 4.632638300070539, 6.048224200028926, 9.614273000042886, 5.6819653999991715, 4.564603499951772, 5.898328999988735, 2.965251899906434, 2.3326525000156835, 8.198397100088187, 3.7486757000442594, 3.5651323999045417, 3.031870000064373, 3.5809601000510156, 2.332234000088647, 2.931681700050831, 2.032439099973999, 2.5827989999670535, 3.0984959000488743, 2.1983917000470683, 3.6324376999400556, 2.748571499949321, 2.7160768000176176]",192.59979910007678,023697,001,2022-11-08_16h01.02.077,tutorial07,2022.2.2,60.03871294935459,
0.7,400.0,unexp,2,0,24,2,195.31651680008508,196.3164684000658,196.3164684000658,196.3164684000658,space,0.36323759995866567,197.39940612007632,197.69954150007106,197.69954150007106,197.69954150007106,40,25,"[7.500491500017233, 8.148237899993546, 4.632625599973835, 6.048216600087471, 9.614266699994914, 5.6819542000303045, 4.5645972999045625, 5.898321399930865, 2.965241799945943, 2.3326427000574768, 8.19838630000595, 3.748666499974206, 3.565124399960041, 3.03186220000498, 3.580949900089763, 2.3322241000132635, 2.931673499988392, 2.032431099913083, 2.5827882000012323, 3.098484499962069, 2.1983819999732077, 3.6324259999673814, 2.748561199987307, 2.716066399938427, 2.932921399944462]","[7.50050960003864, 8.148248599958606, 4.632638300070539, 6.048224200028926, 9.614273000042886, 5.6819653999991715, 4.564603499951772, 5.898328999988735, 2.965251899906434, 2.3326525000156835, 8.198397100088187, 3.7486757000442594, 3.5651323999045417, 3.031870000064373, 3.5809601000510156, 2.332234000088647, 2.931681700050831, 2.032439099973999, 2.5827989999670535, 3.0984959000488743, 2.1983917000470683, 3.6324376999400556, 2.748571499949321, 2.7160768000176176, 2.9329311000183225]",,023697,001,2022-11-08_16h01.02.077,tutorial07,2022.2.2,60.03871294935459,
0.4,400.0,unexp,2,1,25,1,200.63290010008495,201.63309930008836,201.63309930008836,201.63309930008836,space,0.2423310000449419,202.29951132008574,202.5995701000793,202.5995701000793,202.5995701000793,70,26,"[7.500491500017233, 8.148237899993546, 4.632625599973835, 6.048216600087471, 9.614266699994914, 5.6819542000303045, 4.5645972999045625, 5.898321399930865, 2.965241799945943, 2.3326427000574768, 8.19838630000595, 3.748666499974206, 3.565124399960041, 3.03186220000498, 3.580949900089763, 2.3322241000132635, 2.931673499988392, 2.032431099913083, 2.5827882000012323, 3.098484499962069, 2.1983819999732077, 3.6324259999673814, 2.748561199987307, 2.716066399938427, 2.932921399944462, 2.3160394000587985]","[7.50050960003864, 8.148248599958606, 4.632638300070539, 6.048224200028926, 9.614273000042886, 5.6819653999991715, 4.564603499951772, 5.898328999988735, 2.965251899906434, 2.3326525000156835, 8.198397100088187, 3.7486757000442594, 3.5651323999045417, 3.031870000064373, 3.5809601000510156, 2.332234000088647, 2.931681700050831, 2.032439099973999, 2.5827989999670535, 3.0984959000488743, 2.1983917000470683, 3.6324376999400556, 2.748571499949321, 2.7160768000176176, 2.9329311000183225, 2.316050500026904]",202.5995701000793,023697,001,2022-11-08_16h01.02.077,tutorial07,2022.2.2,60.03871294935459,
0.1,400.0,unexp,2,2,26,0,204.91617540002335,205.91607680008747,205.91607680008747,205.91607680008747,space,0.9305815000552684,206.965995820018,207.26609320007265,207.26609320007265,207.26609320007265,80 ,27,"[7.500491500017233, 8.148237899993546, 4.632625599973835, 6.048216600087471, 9.614266699994914, 5.6819542000303045, 4.5645972999045625, 5.898321399930865, 2.965241799945943, 2.3326427000574768, 8.19838630000595, 3.748666499974206, 3.565124399960041, 3.03186220000498, 3.580949900089763, 2.3322241000132635, 2.931673499988392, 2.032431099913083, 2.5827882000012323, 3.098484499962069, 2.1983819999732077, 3.6324259999673814, 2.748561199987307, 2.716066399938427, 2.932921399944462, 2.3160394000587985, 2.0819980000378564]","[7.50050960003864, 8.148248599958606, 4.632638300070539, 6.048224200028926, 9.614273000042886, 5.6819653999991715, 4.564603499951772, 5.898328999988735, 2.965251899906434, 2.3326525000156835, 8.198397100088187, 3.7486757000442594, 3.5651323999045417, 3.031870000064373, 3.5809601000510156, 2.332234000088647, 2.931681700050831, 2.032439099973999, 2.5827989999670535, 3.0984959000488743, 2.1983917000470683, 3.6324376999400556, 2.748571499949321, 2.7160768000176176, 2.9329311000183225, 2.316050500026904, 2.0820058999815956]",207.26609320007265,023697,001,2022-11-08_16h01.02.077,tutorial07,2022.2.2,60.03871294935459,
0.1,1000.0,exp,2,3,27,3,209.34954349999316,210.34936680004466,210.34936680004466,210.34936680004466,space,0.9232970000011846,211.3990574200987,211.6994001000421,211.6994001000421,211.6994001000421,90 ,28,"[7.500491500017233, 8.148237899993546, 4.632625599973835, 6.048216600087471, 9.614266699994914, 5.6819542000303045, 4.5645972999045625, 5.898321399930865, 2.965241799945943, 2.3326427000574768, 8.19838630000595, 3.748666499974206, 3.565124399960041, 3.03186220000498, 3.580949900089763, 2.3322241000132635, 2.931673499988392, 2.032431099913083, 2.5827882000012323, 3.098484499962069, 2.1983819999732077, 3.6324259999673814, 2.748561199987307, 2.716066399938427, 2.932921399944462, 2.3160394000587985, 2.0819980000378564, 1.8488396999891847]","[7.50050960003864, 8.148248599958606, 4.632638300070539, 6.048224200028926, 9.614273000042886, 5.6819653999991715, 4.564603499951772, 5.898328999988735, 2.965251899906434, 2.3326525000156835, 8.198397100088187, 3.7486757000442594, 3.5651323999045417, 3.031870000064373, 3.5809601000510156, 2.332234000088647, 2.931681700050831, 2.032439099973999, 2.5827989999670535, 3.0984959000488743, 2.1983917000470683, 3.6324376999400556, 2.748571499949321, 2.7160768000176176, 2.9329311000183225, 2.316050500026904, 2.0820058999815956, 1.8488503000698984]",211.6994001000421,023697,001,2022-11-08_16h01.02.077,tutorial07,2022.2.2,60.03871294935459,
